city	city_name	city_state	polX	polY	eff
QUE1	Quezon City	PHL	413,4668	496,3408	1
RAD	Road Town Tortola	VGB	176,2026	368,6753	1
ROR	Koror	PLW	403,2627	531,312	1
SAN1	San Miguelito	PAN	148,8564	397,9185	1
SAR	Sarh	TCD	341,8442	284,1489	1
SCU	Santiago de Cuba	CUB	170,3545	393,5269	1
SFA	Sfax	TUN	313,9766	325,1543	1
SOU1	Soumgat	AZE	364,2959	366,0884	1
SOU2	Sousse	TUN	312,8784	327,1055	1
SUC	Suceava	ROU	329,4946	355,1147	1
TBU	Nuku alofa	TON	278,0093	628,0317	1
TSN	Tianjin	CHN	378,6094	467,6011	1
YVA	Moroni	COM	422,772	289,1431	1
ZIG	Ziguinchor	SEN	255,1367	288,5356	1
